fips,pm25
01001,9.3
01003,7.8
01005,8.8
01007,8.6
01009,8.8
01011,8.4
01013,8.4
01015,8.9
01017,8.9
01019,8.4
01021,8.9
01023,8.7
01025,8.8
01027,6.8
01029,8.3
01031,8.9
01033,7.5
01035,8.5
01037,8.5
01039,8.6
01041,8.5
01043,8.7
01045,9.0
01047,8.7
01049,7.2
01051,9.4
01053,8.9
01055,7.9
01057,8.3
01059,7.5
01061,8.9
01063,8.5
01065,8.7
01067,9.0
01069,9.3
01071,7.9
01073,10.2
01075,8.2
01077,7.3
01079,7.9
01081,9.3
01083,7.8
01085,8.7
01087,8.9
01089,7.1
01091,8.7
01093,7.8
01095,8.7
01097,8.0
01099,8.6
01101,7.9
01103,8.1
01105,8.5
01107,8.6
01109,8.6
01111,8.4
01113,8.7
01115,9.4
01117,10.0
01119,8.7
01121,9.1
01123,8.6
01125,7.5
01127,9.0
01129,9.0
01131,8.5
01133,8.1
02013,
02016,
02020,5.8
02050,
02060,
02063,
02066,
02068,
02070,
02090,11.9
02100,
02105,
02110,4.8
02122,
02130,
02150,
02158,
02164,
02170,4.7
02180,
02185,
02188,
02195,
02198,
02220,
02230,
02240,
02275,
02282,
02290,
04001,3.3
04003,6.5
04005,5.3
04007,6.0
04009,5.4
04011,5.4
04012,4.2
04013,12.6
04015,6.1
04017,5.3
04019,6.2
04021,16.1
04023,10.4
04025,5.7
04027,9.1
05001,7.2
05003,7.4
05005,7.6
05007,9.3
05009,7.7
05011,8.1
05013,8.2
05015,7.9
05017,8.6
05019,8.4
05021,8.1
05023,8.1
05025,8.0
05027,8.5
05029,8.5
05031,8.5
05033,8.7
05035,7.5
05037,8.4
05039,8.2
05041,8.5
05043,8.3
05045,9.1
05047,7.5
05049,
05051,8.1
05053,8.3
05055,8.3
05057,8.9
05059,8.4
05061,8.9
05063,8.2
05065,7.6
05067,7.1
05069,8.7
05071,7.9
05073,8.5
05075,8.2
05077,8.5
05079,8.4
05081,9.3
05083,8.1
05085,9.0
05087,7.7
05089,7.5
05091,9.3
05093,8.3
05095,8.3
05097,7.8
05099,8.6
05101,7.2
05103,8.4
05105,8.3
05107,8.5
05109,8.4
05111,8.5
05113,7.2
05115,8.3
05117,8.4
05119,9.6
05121,7.9
05123,8.5
05125,8.9
05127,7.7
05129,7.3
05131,9.0
05133,9.0
05135,7.6
05137,7.5
05139,8.5
05141,7.9
05143,6.9
05145,8.5
05147,8.2
05149,8.2
06001,11.8
06003,9.7
06005,14.2
06007,16.1
06009,12.7
06011,12.8
06013,11.1
06015,10.3
06017,14.6
06019,20.3
06021,17.0
06023,8.8
06025,11.9
06027,12.2
06029,21.1
06031,20.0
06033,9.6
06035,12.4
06037,15.6
06039,17.1
06041,8.6
06043,21.3
06045,12.4
06047,15.3
06049,10.4
06051,39.1
06053,8.8
06055,10.3
06057,12.4
06059,12.7
06061,13.1
06063,21.1
06065,14.8
06067,14.9
06069,8.9
06071,17.4
06073,20.6
06075,10.5
06077,15.1
06079,10.0
06081,9.8
06083,9.3
06085,12.5
06087,11.1
06089,9.8
06091,10.8
06093,10.9
06095,12.4
06097,8.3
06099,15.6
06101,16.7
06103,13.3
06105,10.2
06107,20.8
06109,16.2
06111,7.9
06113,15.9
06115,16.3
08001,9.2
08003,5.3
08005,5.9
08007,5.0
08009,5.5
08011,
08013,10.2
08014,9.6
08015,4.7
08017,5.9
08019,5.7
08021,4.9
08023,4.7
08025,
08027,
08029,5.8
08031,10.5
08033,4.5
08035,7.0
08037,5.4
08039,7.2
08041,6.0
08043,5.3
08045,5.4
08047,
08049,5.4
08051,4.8
08053,4.4
08055,4.7
08057,5.6
08059,9.3
08061,5.9
08063,5.9
08065,4.5
08067,5.6
08069,8.2
08071,5.0
08073,6.0
08075,6.3
08077,6.1
08079,4.3
08081,5.9
08083,5.2
08085,5.5
08087,7.6
08089,5.9
08091,
08093,5.1
08095,5.9
08097,4.7
08099,6.1
08101,5.6
08103,8.3
08105,5.0
08107,6.7
08109,4.6
08111,4.5
08113,4.8
08115,5.7
08117,
08119,5.2
08121,6.4
08123,9.9
08125,6.1
09001,8.1
09003,7.8
09005,5.7
09007,
09009,8.2
09011,6.9
09013,
09015,
09110,
09120,
09130,
09140,
09150,
09160,
09170,
09180,
09190,
10001,7.3
10003,8.3
10005,7.2
11001,7.8
12001,7.8
12003,7.9
12005,8.3
12007,8.0
12009,7.9
12011,9.3
12013,8.0
12015,7.9
12017,8.2
12019,8.8
12021,7.6
12023,8.0
12027,7.7
12029,7.4
12031,8.3
12033,9.7
12035,8.1
